,StartDateAndTime,EndDateAndTime,StartUnix,EndUnix,Time_diff,Pump_num,Elevation_dif,volume_per_foot,observed_pumping_flow_rate,avg_flow_rate_pump,average_observed_pumping_flow_rate,Time_to_Fill,Inflow,Avg_Inflow,Actual_Pump_Flow_Rate,Average_Pump_1_Flow_Rate,Average_Pump_2_Flow_Rate,Average_Pump_Flow_Rate(1&2)
0,9/1/22 9:03,9/1/22 9:05,1662022992,1662023120,2.133333333,975,2.2,147,152,152,152,0,0,0,152,0,152,152
1,9/1/22 9:08,9/1/22 9:09,1662023301,1662023387,1.433333333,974,2.2,147,226,226,189,3.016666667,107.2044199,53.60220994,333,333,0,242.5
2,9/1/22 9:12,9/1/22 9:14,1662023568,1662023697,2.15,975,2.2,147,150,151,176.3333333,3.016666667,107.2044199,71.46961326,257,0,204.5,247.3333333
3,9/1/22 9:18,9/1/22 9:19,1662023881,1662023966,1.416666667,974,2.2,147,228,227,189,3.066666667,105.4565217,79.96634038,333,333,0,268.75
4,9/1/22 9:22,9/1/22 9:24,1662024152,1662024281,2.15,975,2.2,147,150,150.6666667,181.3333333,3.1,104.3225806,84.83758843,254,0,221,265.8
5,9/1/22 9:27,9/1/22 9:29,1662024470,1662024553,1.383333333,974,2.2,147,234,229.3333333,189.3333333,3.15,102.6666667,87.80910147,337,334.3333333,0,277.6666667
6,9/1/22 9:32,9/1/22 9:34,1662024742,1662024871,2.15,975,2.2,147,150,150.5,183.7857143,3.15,102.6666667,89.93161079,253,0,229,274.1428571
7,9/1/22 9:36,9/1/22 9:38,1662025009,1662025099,1.5,974,2.2,147,216,226,189.0625,2.3,140.6086957,96.26624639,357,340,0,284.5
8,9/1/22 9:41,9/1/22 9:43,1662025272,1662025403,2.183333333,975,2.2,147,148,150,184.7222222,2.883333333,112.1618497,98.03242454,260,0,235.2,281.7777778
9,9/1/22 9:46,9/1/22 9:47,1662025577,1662025662,1.416666667,974,2.2,147,228,226.4,188.89,2.9,111.5172414,99.38090622,340,340,0,287.6
10,9/1/22 9:50,9/1/22 9:52,1662025839,1662025961,2.033333333,975,2.2,147,159,151.5,185.4909091,2.95,109.6271186,100.3123801,269,0,240.8333333,285.9090909
11,9/1/22 9:55,9/1/22 9:57,1662026143,1662026227,1.4,974,2.2,147,231,227.1666667,188.9638889,3.033333333,106.6153846,100.8376305,338,339.6666667,0,290.25
12,9/1/22 10:01,9/1/22 10:02,1662026490,1662026537,0.783333333,975,2.2,147,413,188.8571429,188.9556777,4.383333333,73.77946768,98.75623332,487,0,276,305.3846154
13,9/1/22 10:05,9/1/22 10:06,1662026727,1662026809,1.366666667,974,2.2,147,237,228.5714286,191.7853741,3.166666667,102.1263158,98.9969535,339,339.5714286,0,307.7857143
14,9/1/22 10:10,9/1/22 10:12,1662027009,1662027132,2.05,975,2.2,147,158,185,191.3330159,3.333333333,97.02,98.8651566,255,0,273.375,304.2666667
15,9/1/22 10:15,9/1/22 10:17,1662027344,1662027425,1.35,974,2.2,147,240,230,193.7497024,3.533333333,91.52830189,98.40660318,332,338.625,0,306
16,9/1/22 10:20,9/1/22 10:22,1662027648,1662027766,1.966666667,975,2.2,147,164,182.6666667,193.0977591,3.716666667,87.01345291,97.73641787,251,0,270.8888889,302.7647059
17,9/1/22 10:26,9/1/22 10:27,1662027996,1662028076,1.333333333,974,2.2,147,243,231.4444444,195.2281305,3.833333333,84.36521739,96.9935734,327,337.3333333,0,304.1111111
18,9/1/22 10:31,9/1/22 10:33,1662028310,1662028429,1.983333333,975,2.2,147,163,180.7,194.4634921,3.9,82.92307692,96.25302095,246,0,268.4,301.0526316
19,9/1/22 10:37,9/1/22 10:38,1662028627,1662028712,1.416666667,974,2.2,147,228,231.1,196.2953175,3.3,98,96.3403699,326,336.2,0,302.3
20,9/1/22 10:42,9/1/22 10:44,1662028932,1662029049,1.95,975,2.2,147,166,179.3636364,195.4890469,3.666666667,88.2,95.95273324,254,0,267.0909091,300
21,9/1/22 10:48,9/1/22 10:49,1662029285,1662029365,1.333333333,974,2.2,147,243,232.1818182,197.1569002,3.933333333,82.22033898,95.3285335,325,335.1818182,0,301.1363636
22,9/1/22 10:53,9/1/22 10:55,1662029597,1662029714,1.95,975,2.2,147,166,178.25,196.334861,3.866666667,83.63793103,94.82024644,250,0,265.6666667,298.9130435
23,9/1/22 10:59,9/1/22 11:00,1662029949,1662030027,1.3,974,2.2,147,249,233.5833333,197.8868807,3.916666667,82.57021277,94.30982837,332,334.9166667,0,300.2916667
24,9/1/22 11:04,9/1/22 11:06,1662030267,1662030383,1.933333333,975,2.2,147,167,177.3846154,197.0667901,4,80.85,93.77143523,248,0,264.3076923,298.2
25,9/1/22 11:10,9/1/22 11:11,1662030634,1662030711,1.283333333,974,2.2,147,252,235,198.5257597,4.183333333,77.30677291,93.13817899,329,334.4615385,0,299.3846154
26,9/1/22 11:16,9/1/22 11:17,1662030965,1662031078,1.883333333,975,2.2,147,172,177,197.7285094,4.233333333,76.39370079,92.51801313,248,0,263.1428571,297.4814815
27,9/1/22 11:22,9/1/22 11:23,1662031345,1662031421,1.266666667,974,2.2,147,255,236.4285714,199.1106544,4.45,72.6741573,91.809304,328,334,0,298.5714286
28,9/1/22 11:28,9/1/22 11:29,1662031684,1662031797,1.883333333,975,2.2,147,172,176.6666667,198.3367238,4.383333333,73.77946768,91.1875855,246,0,262,296.7586207
29,9/1/22 11:33,9/1/22 11:35,1662032022,1662032106,1.4,974,2.2,147,231,236.0666667,199.5943886,3.75,86.24,91.02266598,317,332.8666667,0,297.4333333
30,9/1/22 11:38,9/1/22 11:40,1662032333,1662032448,1.916666667,975,2.2,147,169,176.1875,198.8393277,3.783333333,85.48017621,90.84387599,254,0,261.5,296.0322581
31,9/1/22 11:44,9/1/22 11:46,1662032694,1662032771,1.283333333,974,2.2,147,252,237.0625,200.0338018,4.1,78.87804878,90.46994389,331,332.75,0,297.125
32,9/1/22 11:50,9/1/22 11:52,1662033017,1662033132,1.916666667,975,2.2,147,169,175.7647059,199.2983746,4.1,78.87804878,90.11867434,248,0,260.7058824,295.6363636
33,9/1/22 11:56,9/1/22 11:57,1662033394,1662033471,1.283333333,974,2.2,147,252,237.9411765,200.4349276,4.366666667,74.0610687,89.64639182,326,332.3529412,0,296.5294118
34,9/1/22 12:02,9/1/22 12:04,1662033740,1662033848,1.8,975,2.2,147,180,176,199.7367868,4.483333333,72.133829,89.14603289,252,0,260.2222222,295.2571429
